TABLESPACE_NAME,PCT_USED,TOTAL_MB,FREE_MB
SYSTEM,98.95,280.0,2.9375
SYSAUX,94.33,400.0,22.6875
USERS,67.0,6.25,2.0625
UNDOTBS1,21.88,100.0,78.125
