TABLESPACE_NAME,PCT_USED,TOTAL_MB,FREE_MB
SYSTEM,98.95,280.0,2.9375
SYSAUX,94.34,400.0,22.625
USERS,69.0,6.25,1.9375
UNDOTBS1,21.5,100.0,78.5
