SQL_ID,EXECUTIONS,ELAPSED_MS,GETS_PER_EXEC
b39m8n96gxk7c,13,35525,10525
ampw9ddqufjd3,13,34431,10433
05s9358mm6vrr,1,30383,475484
bj1mt6pa09d3p,28,10248,670
d6jmpwp78srq6,1,5594,9689
ggh55rhz95kyj,1,5580,9486
c61ajdcqbqn42,4,4851,1574
7hnc5ucz8grnt,4,4026,963
c7fnaqcmbm0b5,4,3584,41
fy90r8dz0qsfx,1,3480,165805
