TABLESPACE_NAME,PCT_USED,TOTAL_MB,FREE_MB
SYSTEM,98.01,280,5.5625
SYSAUX,94.97,360,18.125
UNDOTBS1,35.13,100,64.875
USERS,20.0,5,4.0
