SQL_ID,EXECUTIONS,ELAPSED_MS,GETS_PER_EXEC
b6usrg82hwsa3,2,105539,611845
b39m8n96gxk7c,24,53025,6585
ampw9ddqufjd3,24,52393,6560
c61ajdcqbqn42,24,30291,453
7hnc5ucz8grnt,24,25924,173
fn0stp00nzmj6,24,21841,152
bj1mt6pa09d3p,63,17991,385
d4m7ss0gdqhw9,1,14412,637
bxywuzvtp6wjg,1,13330,8495
9x2prazfz86dz,91,5037,145
