TABLESPACE_NAME,PCT_USED,TOTAL_MB,FREE_MB
SYSTEM,98.44,280,4.375
SYSAUX,92.88,400,28.5
USERS,47.5,5,2.625
UNDOTBS1,26.5,100,73.5
