SQL_ID,EXECUTIONS,ELAPSED_MS,GETS_PER_EXEC
b6usrg82hwsa3,2,105539,611845
b39m8n96gxk7c,11,21506,3892
ampw9ddqufjd3,11,21085,3845
bj1mt6pa09d3p,50,14605,447
c61ajdcqbqn42,11,13526,466
7hnc5ucz8grnt,11,11530,236
fn0stp00nzmj6,11,9211,191
3un99a0zwp4vd,1525,3833,11
9x2prazfz86dz,70,3806,147
121ffmrc95v7g,1622,2538,7
