SQL_ID,EXECUTIONS,ELAPSED_MS,GETS_PER_EXEC
b6usrg82hwsa3,2,105539,611845
b39m8n96gxk7c,32,75612,5305
ampw9ddqufjd3,32,74671,5284
c61ajdcqbqn42,32,45000,384
7hnc5ucz8grnt,32,39007,134
fn0stp00nzmj6,32,32498,119
bj1mt6pa09d3p,71,22130,348
d4m7ss0gdqhw9,1,14412,637
bxywuzvtp6wjg,1,13330,8495
3kwgvvq0hz516,1,5362,11711
