SQL_ID,EXECUTIONS,ELAPSED_MS,GETS_PER_EXEC
b6usrg82hwsa3,2,105539,611845
gn56shm8rfjgf,1,18158,57142
b39m8n96gxk7c,9,16325,4324
ampw9ddqufjd3,9,15930,4269
bj1mt6pa09d3p,48,14375,463
c61ajdcqbqn42,9,10114,533
7hnc5ucz8grnt,9,8626,284
fn0stp00nzmj6,9,6850,229
2sawmaavc15ah,1,4247,16134
3un99a0zwp4vd,1506,3810,11
