SQL_ID,EXECUTIONS,ELAPSED_MS,GETS_PER_EXEC
b6usrg82hwsa3,1,62701,758894
1akct9prtc2tk,1101179,58513,7
bj1mt6pa09d3p,42,13191,520
b39m8n96gxk7c,3,4807,7873
ampw9ddqufjd3,3,4706,7741
3un99a0zwp4vd,1338,3667,12
9x2prazfz86dz,60,3592,147
c61ajdcqbqn42,3,2517,1276
04kug40zbu4dm,12360,2407,8
121ffmrc95v7g,1164,2234,7
